Year,Driver,Best_FP1,Best_FP2,Delta_FP2_FP1,Best_Q,Elo,Team,TeamElo,RecencyWeight
2023,ALB,74.666,74.217,-0.44899999999999807,72.527,1729.6393747159027,Williams,1692.2289553213702,0.36787944117144233
2023,ALO,73.71,72.682,-1.0279999999999916,71.449,2038.4163413616418,Aston Martin,1915.2943666130027,0.36787944117144233
2023,GAS,74.866,73.089,-1.777000000000001,71.933,2068.2681118733362,Alpine,2022.367124813348,0.36787944117144233
2023,HAM,74.035,72.96,-1.0750000000000028,71.725,2021.9076574637897,Mercedes,2211.867056028932,0.36787944117144233
2023,HUL,75.785,73.52,-2.2650000000000006,73.279,1987.3540785136531,Haas F1 Team,1927.6236063083052,0.36787944117144233
2023,LEC,74.093,72.527,-1.5660000000000025,71.471,2505.582462744051,Ferrari,2390.3604462648964,0.36787944117144233
2023,NOR,74.467,72.906,-1.5609999999999928,72.254,2444.681872202843,McLaren,2401.3200491629477,0.36787944117144233
2023,OCO,74.585,73.162,-1.4229999999999876,71.553,1976.4661377533598,Alpine,2022.367124813348,0.36787944117144233
2023,PIA,75.192,73.673,-1.5189999999999912,72.395,2357.9582261230526,McLaren,2401.3200491629477,0.36787944117144233
2023,RUS,75.066,73.191,-1.875,71.964,2401.8264545940738,Mercedes,2211.867056028932,0.36787944117144233
2023,SAI,73.372,72.569,-0.8029999999999973,71.63,2275.138429785741,Ferrari,2390.3604462648964,0.36787944117144233
2023,STR,74.653,73.185,-1.4680000000000035,72.623,1792.1723918643636,Aston Martin,1915.2943666130027,0.36787944117144233
2023,TSU,74.82,73.641,-1.1789999999999878,72.082,1963.1812891757515,AlphaTauri,1757.8992461808111,0.36787944117144233
2023,VER,74.244,72.462,-1.7819999999999965,71.365,2610.7232124111383,Red Bull Racing,2385.1367953992085,0.36787944117144233
2024,ALB,73.425,72.257,-1.1679999999999922,70.948,1729.6393747159027,Williams,1692.2289553213702,1.0
2024,ALO,72.775,71.753,-1.0220000000000056,72.019,2038.4163413616418,Aston Martin,1915.2943666130027,1.0
2024,GAS,75.574,72.75,-2.823999999999998,70.896,2068.2681118733362,Alpine,2022.367124813348,1.0
2024,HAM,72.169,71.466,-0.703000000000003,70.621,2021.9076574637897,Mercedes,2211.867056028932,1.0
2024,HUL,73.576,72.569,-1.0069999999999908,71.44,1987.3540785136531,Haas F1 Team,1927.6236063083052,1.0
2024,LEC,72.397,71.278,-1.1189999999999998,70.27,2505.582462744051,Ferrari,2390.3604462648964,1.0
2024,NOR,72.396,71.953,-0.44299999999999784,70.542,2444.681872202843,McLaren,2401.3200491629477,1.0
2024,OCO,74.159,72.554,-1.605000000000004,71.285,1976.4661377533598,Alpine,2022.367124813348,1.0
2024,PIA,72.198,72.366,0.16800000000000637,70.424,2357.9582261230526,McLaren,2401.3200491629477,1.0
2024,RUS,72.295,72.26,-0.03499999999999659,70.543,2401.8264545940738,Mercedes,2211.867056028932,1.0
2024,SAI,72.954,71.962,-0.9919999999999902,70.518,2275.138429785741,Ferrari,2390.3604462648964,1.0
2024,STR,72.789,72.062,-0.7270000000000039,71.563,1792.1723918643636,Aston Martin,1915.2943666130027,1.0
2024,TSU,72.875,72.349,-0.5259999999999962,70.858,1963.1812891757515,RB,1865.379015862649,1.0
2024,VER,72.984,71.813,-1.1709999999999923,70.567,2610.7232124111383,Red Bull Racing,2385.1367953992085,1.0
