Year,Driver,Best_FP1,Best_FP2,Delta_FP2_FP1,Elo,Team,TeamElo
2025,ALB,72.314,71.918,-0.3959999999999866,,,
2025,ALO,72.727,71.89,-0.8370000000000033,,,
2025,ANT,72.765,72.002,-0.7630000000000052,,,
2025,BEA,73.329,72.259,-1.0699999999999932,,,
2025,BOR,73.47,72.234,-1.2360000000000042,,,
2025,COL,73.82,73.415,-0.4049999999999869,,,
2025,GAS,72.669,72.404,-0.26500000000000057,,,
2025,HAD,73.187,71.842,-1.3449999999999989,,,
2025,HAM,72.69,71.46,-1.230000000000004,,,
2025,HUL,72.979,72.262,-0.7169999999999987,,,
2025,LAW,73.429,71.823,-1.6060000000000088,,,
2025,LEC,71.964,71.355,-0.6089999999999947,,,
2025,NOR,72.29,71.677,-0.6129999999999995,,,
2025,OCO,73.394,72.541,-0.8530000000000086,,,
2025,PIA,72.342,71.393,-0.9489999999999981,,,
2025,RUS,72.482,72.092,-0.39000000000000057,,,
2025,SAI,72.534,72.151,-0.3830000000000098,,,
2025,STR,75.635,72.512,-3.1230000000000047,,,
2025,TSU,73.232,72.072,-1.1599999999999966,,,
2025,VER,72.127,72.068,-0.0589999999999975,,,
